Package,Version,License,Download URL,Copyright
mimic-response,2.0.0,MIT,https://github.com/sindresorhus/mimic-response,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
minimatch,3.0.4,ISC,https://github.com/isaacs/minimatch,Copyright (c) Isaac Z. Schlueter and Contributors
minimist,0.0.8,MIT,https://github.com/substack/minimist,
minimist,1.2.0,MIT,https://github.com/substack/minimist,
mkdirp,0.5.1,MIT,https://github.com/substack/node-mkdirp,Copyright 2010 James Halliday (mail@substack.net)
moment,2.24.0,MIT,http://momentjs.com,Copyright (c) JS Foundation and other contributors
monorepo-symlink-test,0.0.0,MIT,,
ms,2.0.0,MIT,,Copyright (c) 2016 Zeit- Inc.
ms,2.1.1,MIT,,Copyright (c) 2016 Zeit- Inc.
ms,2.1.2,MIT,,Copyright (c) 2016 Zeit- Inc.
nanomatch,1.2.13,MIT,https://github.com/micromatch/nanomatch,Copyright (c) 2016-2018- Jon Schlinkert.
nconf,0.10.0,MIT,https://github.com/flatiron/nconf,Copyright (C) 2011 Charlie Robbins and the Contributors.
negotiator,0.6.2,MIT,,Copyright (c) 2012-2014 Federico Romero
nice-try,1.0.5,MIT,https://github.com/electerious/nice-try,Copyright (c) 2018 Tobias Reich
node-abi,2.12.0,MIT,https://github.com/lgeiger/node-abi,Copyright (c) 2016 Lukas Geiger
nopt,4.0.1,ISC,https://github.com/npm/nopt,Copyright (c) Isaac Z. Schlueter and Contributors
npm-run-path,2.0.2,MIT,https://github.com/sindresorhus/npm-run-path,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
npmlog,4.1.2,ISC,https://github.com/npm/npmlog,Copyright (c) Isaac Z. Schlueter and Contributors
number-is-nan,1.0.1,MIT,https://github.com/sindresorhus/number-is-nan,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
nw-pre-gyp-module-test,0.0.1,,,
oauth-sign,0.9.0,Apache-2.0,https://github.com/mikeal/oauth-sign,
object-assign,4.1.1,MIT,,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
object-copy,0.1.0,MIT,https://github.com/jonschlinkert/object-copy,Copyright (c) 2016- Jon Schlinkert.
object-inspect,1.6.0,MIT,https://github.com/substack/object-inspect,
object-is,1.0.1,MIT,https://github.com/ljharb/object-is,Copyright (c) 2014 Jordan Harband
object-keys,1.1.1,MIT,https://github.com/ljharb/object-keys,Copyright (C) 2013 Jordan Harband
object-visit,1.0.1,MIT,https://github.com/jonschlinkert/object-visit,Copyright (c) 2015- 2017- Jon Schlinkert
object.getownpropertydescriptors,2.0.3,MIT,https://github.com/ljharb/object.getownpropertydescriptors,Copyright (c) 2015 Jordan Harband
object.omit,2.0.1,MIT,https://github.com/jonschlinkert/object.omit,Copyright (c) 2014-2016- Jon Schlinkert
object.pick,1.3.0,MIT,https://github.com/jonschlinkert/object.pick,Copyright (c) 2014-2016- Jon Schlinkert.
on-finished,2.3.0,MIT,,Copyright (c) 2013 Jonathan Ong <me@jongleberry.com>
on-headers,1.0.2,MIT,,Copyright (c) 2014 Douglas Christopher Wilson
once,1.4.0,ISC,https://github.com/isaacs/once,Copyright (c) Isaac Z. Schlueter and Contributors
os-homedir,1.0.2,MIT,https://github.com/sindresorhus/os-homedir,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
os-locale,1.4.0,MIT,https://github.com/sindresorhus/os-locale,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
os-tmpdir,1.0.2,MIT,https://github.com/sindresorhus/os-tmpdir,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
p-finally,1.0.0,MIT,https://github.com/sindresorhus/p-finally,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
p-limit,2.2.1,MIT,https://github.com/sindresorhus/p-limit,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
parallel-transform,1.2.0,MIT,https://github.com/mafintosh/parallel-transform,Copyright 2013 Mathias Buus
parse-asn1,5.1.5,ISC,https://github.com/crypto-browserify/parse-asn1,Copyright (c) 2017- crypto-browserify contributors
parse-glob,3.0.4,MIT,https://github.com/jonschlinkert/parse-glob,Copyright (c) 2015- Jon Schlinkert.
parseurl,1.3.3,MIT,,Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>
pascalcase,0.1.1,MIT,https://github.com/jonschlinkert/pascalcase,Copyright (c) 2015- Jon Schlinkert.
path-dirname,1.0.2,MIT,https://github.com/es128/path-dirname,Copyright (c) Elan Shanker and Node.js contributors. All rights reserved.
path-exists,3.0.0,MIT,https://github.com/sindresorhus/path-exists,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
path-is-absolute,1.0.1,MIT,https://github.com/sindresorhus/path-is-absolute,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
path-key,2.0.1,MIT,https://github.com/sindresorhus/path-key,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
path-parse,1.0.6,MIT,https://github.com/jbgutierrez/path-parse,Copyright (c) 2015 Javier Blanco
path-to-regexp,0.1.7,MIT,,Copyright (c) 2014 Blake Embrey (hello@blakeembrey.com)
performance-now,2.1.0,MIT,https://github.com/braveg1rl/performance-now,Copyright (c) 2013 Braveg1rl
pify,2.3.0,MIT,https://github.com/sindresorhus/pify,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
pinkie,2.0.4,MIT,https://github.com/floatdrop/pinkie,Copyright (c) Vsevolod Strukchinsky <floatdrop@gmail.com> (github.com/floatdrop)
pinkie-promise,2.0.1,MIT,https://github.com/floatdrop/pinkie-promise,Copyright (c) Vsevolod Strukchinsky <floatdrop@gmail.com> (github.com/floatdrop)
portfinder,1.0.25,MIT,https://github.com/indexzero/node-portfinder,Copyright (c) 2012 Charlie Robbins
posix-character-classes,0.1.1,MIT,https://github.com/jonschlinkert/posix-character-classes,Copyright (c) 2016-2017- Jon Schlinkert
postcss,7.0.20,MIT,https://postcss.org/,Copyright 2013 Andrey Sitnik <andrey@sitnik.ru>
postcss-value-parser,4.0.2,MIT,https://github.com/TrySound/postcss-value-parser,Copyright (c) Bogdan Chadkin <trysound@yandex.ru>
prebuild-install,5.3.2,MIT,https://github.com/prebuild/prebuild-install,Copyright (c) 2015 Mathias Buus
preserve,0.2.0,MIT,https://github.com/jonschlinkert/preserve,Copyright (c) 2014-2015- Jon Schlinkert.
process,0.11.10,MIT,https://github.com/shtylman/node-process,Copyright (c) 2013 Roman Shtylman <shtylman@gmail.com>
process-nextick-args,2.0.0,MIT,https://github.com/calvinmetcalf/process-nextick-args,# Copyright (c) 2015 Calvin Metcalf
process-nextick-args,2.0.1,MIT,https://github.com/calvinmetcalf/process-nextick-args,# Copyright (c) 2015 Calvin Metcalf
properties-parser,0.3.1,MIT,https://github.com/xavi-/node-properties-parser,
proxy-addr,2.0.5,MIT,,Copyright (c) 2014-2016 Douglas Christopher Wilson
psl,1.4.0,MIT,https://github.com/lupomontero/psl,Copyright (c) 2017 Lupo Montero lupomontero@gmail.com
punycode,1.3.2,MIT,https://mths.be/punycode,Copyright Mathias Bynens <https://mathiasbynens.be/>
punycode,1.4.1,MIT,https://mths.be/punycode,Copyright Mathias Bynens <https://mathiasbynens.be/>
punycode,2.1.1,MIT,https://mths.be/punycode,Copyright Mathias Bynens <https://mathiasbynens.be/>
qs,6.5.2,BSD-3-Clause,https://github.com/ljharb/qs,Copyright (c) 2014 Nathan LaFreniere and other contributors. All rights reserved.
qs,6.7.0,BSD-3-Clause,https://github.com/ljharb/qs,Copyright (c) 2014 Nathan LaFreniere and other contributors. All rights reserved.
query-string,6.8.3,MIT,https://github.com/sindresorhus/query-string,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
querystring,0.2.0,,https://github.com/Gozala/querystring,Copyright 2012 Irakli Gozalishvili. All rights reserved.
randomatic,3.1.1,MIT,https://github.com/jonschlinkert/randomatic,Copyright (c) 2013-2017- Jon Schlinkert.
range-parser,1.2.1,MIT,,Copyright (c) 2012-2014 TJ Holowaychuk <tj@vision-media.ca>
raw-body,2.3.3,MIT,https://github.com/stream-utils/raw-body,Copyright (c) 2013-2014 Jonathan Ong <me@jongleberry.com>
raw-loader,3.1.0,MIT,https://github.com/webpack-contrib/raw-loader,Copyright JS Foundation and other contributors
react-is,16.11.0,MIT,https://reactjs.org/,Copyright (c) Facebook- Inc. and its affiliates.
react-tag-autocomplete,5.11.2,MIT,https://github.com/i-like-robots/react-tags,Copyright (c) 2019 Matt Hinchliffe
readable-stream,2.3.6,MIT,https://github.com/nodejs/readable-stream,Copyright Node.js contributors. All rights reserved.
rechoir,0.6.2,,https://github.com/tkellen/node-rechoir,Copyright (c) 2015 Tyler Kellen
regex-cache,0.4.4,MIT,https://github.com/jonschlinkert/regex-cache,Copyright (c) 2015-2017- Jon Schlinkert.
regex-not,1.0.2,MIT,https://github.com/jonschlinkert/regex-not,Copyright (c) 2016- 2018- Jon Schlinkert.
regexp.prototype.flags,1.2.0,MIT,https://github.com/es-shims/RegExp.prototype.flags,Copyright (C) 2014 Jordan Harband
repeat-string,1.6.1,MIT,https://github.com/jonschlinkert/repeat-string,Copyright (c) 2014-2016- Jon Schlinkert.
request,2.88.0,Apache-2.0,https://github.com/request/request,
requestretry,1.13.0,MIT,https://github.com/FGRibreau/node-request-retry,Copyright (c) 2014 Francois-Guillaume Ribreau
require-directory,2.1.1,MIT,https://github.com/troygoode/node-require-directory/,Copyright (c) 2011 Troy Goode <troygoode@gmail.com>
require-main-filename,1.0.1,ISC,https://github.com/yargs/require-main-filename,Copyright (c) 2016- Contributors
resolve,1.12.0,MIT,https://github.com/browserify/resolve,Copyright (c) 2012 James Halliday
resolve-url,0.2.1,MIT,https://github.com/lydell/resolve-url,Copyright (c) 2013 Simon Lydell
ret,0.1.15,MIT,https://github.com/fent/ret.js,Copyright (C) 2011 by Roly Fentanes
rimraf,2.7.1,ISC,https://github.com/isaacs/rimraf,Copyright (c) Isaac Z. Schlueter and Contributors
safe-buffer,5.1.2,MIT,https://github.com/feross/safe-buffer,Copyright (c) Feross Aboukhadijeh
safe-regex,1.1.0,MIT,https://github.com/substack/safe-regex,
safer-buffer,2.1.2,MIT,,Copyright (c) 2018 Nikita Skovoroda <chalkerx@gmail.com>
scheduler,0.17.0,MIT,https://reactjs.org/,Copyright (c) Facebook- Inc. and its affiliates.
schema-utils,2.5.0,MIT,https://github.com/webpack/schema-utils,Copyright JS Foundation and other contributors
secure-keys,1.0.0,MIT,,
selfsigned,1.10.7,MIT,https://github.com/jfromaniello/selfsigned,Copyright (c) 2013 José F. Romaniello
semver,5.7.0,ISC,https://github.com/npm/node-semver,Copyright (c) Isaac Z. Schlueter and Contributors
semver,5.7.1,ISC,https://github.com/npm/node-semver,Copyright (c) Isaac Z. Schlueter and Contributors
semver,6.3.0,ISC,https://github.com/npm/node-semver,Copyright (c) Isaac Z. Schlueter and Contributors
send,0.16.2,MIT,https://github.com/pillarjs/send,Copyright (c) 2012 TJ Holowaychuk
serialize-javascript,1.9.1,BSD-3-Clause,https://github.com/yahoo/serialize-javascript,Copyright 2014 Yahoo! Inc. All rights reserved.
serialize-javascript,2.1.0,BSD-3-Clause,https://github.com/yahoo/serialize-javascript,Copyright 2014 Yahoo! Inc. All rights reserved.
serve-static,1.13.2,MIT,https://github.com/expressjs/serve-static,Copyright (c) 2010 Sencha Inc.
set-blocking,2.0.0,ISC,https://github.com/yargs/set-blocking,Copyright (c) 2016- Contributors
setimmediate,1.0.5,MIT,https://github.com/YuzuJS/setImmediate,Copyright (c) 2012 Barnesandnoble.com- llc- Donavon West- and Domenic Denicola
setprototypeof,1.1.0,ISC,https://github.com/wesleytodd/setprototypeof,Copyright (c) 2015- Wes Todd
setprototypeof,1.1.1,ISC,https://github.com/wesleytodd/setprototypeof,Copyright (c) 2015- Wes Todd
shebang-command,1.2.0,MIT,https://github.com/kevva/shebang-command,Copyright (c) Kevin Martensson <kevinmartensson@gmail.com> (github.com/kevva)
shebang-regex,1.0.0,MIT,https://github.com/sindresorhus/shebang-regex,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
shelljs,0.8.3,BSD-3-Clause,http://github.com/shelljs/shelljs,Copyright (c) 2012- Artur Adib <arturadib@gmail.com> All rights reserved.
signal-exit,3.0.2,ISC,https://github.com/tapjs/signal-exit,Copyright (c) 2015- Contributors
simple-get,3.1.0,MIT,https://github.com/feross/simple-get,Copyright (c) Feross Aboukhadijeh
snapdragon,0.8.2,MIT,https://github.com/jonschlinkert/snapdragon,Copyright (c) 2015-2016- Jon Schlinkert.
snapdragon-node,2.1.1,MIT,https://github.com/jonschlinkert/snapdragon-node,Copyright (c) 2017- Jon Schlinkert
snapdragon-util,3.0.1,MIT,https://github.com/jonschlinkert/snapdragon-util,Copyright (c) 2017- Jon Schlinkert
sockjs-client,1.4.0,MIT,http://sockjs.org,Copyright (c) 2011-2018 The sockjs-client Authors.
sockjs-echo,0.0.0-unreleasable,,,
sockjs-express,0.0.0-unreleasable,,,
sockjs-hapi,0.0.0-unreleasable,,,
sockjs-koa,0.0.0-unreleasable,,,
sockjs-multiplex,0.0.0-unreleasable,,,
source-map,0.5.7,BSD-3-Clause,https://github.com/mozilla/source-map,Copyright (c) 2009-2011- Mozilla Foundation and contributors All rights reserved.
source-map,0.6.1,BSD-3-Clause,https://github.com/mozilla/source-map,Copyright (c) 2009-2011- Mozilla Foundation and contributors All rights reserved.
source-map-resolve,0.5.2,MIT,https://github.com/lydell/source-map-resolve,Copyright (c) 2014- 2015- 2016- 2017 Simon Lydell
source-map-support,0.5.13,MIT,https://github.com/evanw/node-source-map-support,Copyright (c) 2014 Evan Wallace
source-map-url,0.4.0,MIT,https://github.com/lydell/source-map-url,Copyright (c) 2014 Simon Lydell
spdy,4.0.1,MIT,https://github.com/indutny/node-spdy,Copyright Fedor Indutny- 2015.
split-on-first,1.1.0,MIT,https://github.com/sindresorhus/split-on-first,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
split-string,3.1.0,MIT,https://github.com/jonschlinkert/split-string,Copyright (c) 2015-2017- Jon Schlinkert.
sprintf-js,1.0.3,BSD-3-Clause,https://github.com/alexei/sprintf.js,Copyright (c) 2007-2014- Alexandru Marasteanu <hello [at) alexei (dot] ro> All rights reserved.
sshpk,1.16.1,MIT,https://github.com/arekinath/node-sshpk,Copyright Joyent- Inc. All rights reserved.
static-extend,0.1.2,MIT,https://github.com/jonschlinkert/static-extend,Copyright (c) 2016- Jon Schlinkert.
statuses,1.4.0,MIT,https://github.com/jshttp/statuses,Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>
statuses,1.5.0,MIT,,Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>
stream-shift,1.0.0,MIT,https://github.com/mafintosh/stream-shift,Copyright (c) 2016 Mathias Buus
strict-uri-encode,2.0.0,MIT,https://github.com/kevva/strict-uri-encode,Copyright (c) Kevin Martensson <kevinmartensson@gmail.com> (github.com/kevva)
string-width,1.0.2,MIT,https://github.com/sindresorhus/string-width,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
string-width,2.1.1,MIT,https://github.com/sindresorhus/string-width,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
string.prototype.trimleft,2.1.0,MIT,https://github.com/es-shims/String.prototype.trimLeft,Copyright (c) 2015 Jordan Harband
string.prototype.trimright,2.1.0,MIT,https://github.com/es-shims/String.prototype.trimRight,Copyright (c) 2015 Jordan Harband
string_decoder,1.1.1,MIT,https://github.com/nodejs/string_decoder,Copyright Node.js contributors. All rights reserved.
strip-ansi,3.0.1,MIT,https://github.com/chalk/strip-ansi,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
strip-ansi,4.0.0,MIT,https://github.com/chalk/strip-ansi,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
strip-eof,1.0.0,MIT,https://github.com/sindresorhus/strip-eof,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
strip-json-comments,2.0.1,MIT,https://github.com/sindresorhus/strip-json-comments,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
tabbable,3.1.2,MIT,https://github.com/davidtheclark/tabbable,Copyright (c) 2015 David Clark
tar-fs,2.0.0,MIT,https://github.com/mafintosh/tar-fs,Copyright (c) 2014 Mathias Buus
terser-webpack-plugin,1.4.1,MIT,https://github.com/webpack-contrib/terser-webpack-plugin,Copyright JS Foundation and other contributors
terser-webpack-plugin,2.1.0,MIT,https://github.com/webpack-contrib/terser-webpack-plugin,Copyright JS Foundation and other contributors
tests,1.0.0,Apache-2.0,,* Copyright 2018 IBM Corporation
thunky,1.1.0,MIT,https://github.com/mafintosh/thunky,Copyright (c) 2018 Mathias Buus
timers-browserify,2.0.11,MIT,https://github.com/jryans/timers-browserify,Copyright © 2012 J. Ryan Stinnett <jryans@gmail.com>
to-object-path,0.3.0,MIT,https://github.com/jonschlinkert/to-object-path,Copyright (c) 2015-2016- Jon Schlinkert.
to-regex,3.0.2,MIT,https://github.com/jonschlinkert/to-regex,Copyright (c) 2016-2018- Jon Schlinkert.
to-regex-range,2.1.1,MIT,https://github.com/micromatch/to-regex-range,Copyright (c) 2015-2017- Jon Schlinkert
toidentifier,1.0.0,MIT,,Copyright (c) 2016 Douglas Christopher Wilson <doug@somethingdoug.com>
tough-cookie,2.4.3,BSD-3-Clause,https://github.com/salesforce/tough-cookie,Copyright (c) 2015- Salesforce.com- Inc. All rights reserved.
tslib,1.10.0,Apache-2.0,http://typescriptlang.org/,
tunnel-agent,0.6.0,Apache-2.0,https://github.com/mikeal/tunnel-agent,
tweetnacl,0.14.5,,https://tweetnacl.js.org,
type-is,1.6.18,MIT,,Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>
typedarray,0.0.6,MIT,https://github.com/substack/typedarray,Copyright (c) 2010- Linden Research- Inc.
unpipe,1.0.0,MIT,,Copyright (c) 2015 Douglas Christopher Wilson <doug@somethingdoug.com>
unset-value,1.0.0,MIT,https://github.com/jonschlinkert/unset-value,Copyright (c) 2015- 2017- Jon Schlinkert
upath,1.2.0,MIT,http://github.com/anodynos/upath/,Copyright(c) 2014-2019 Angelos Pikoulas (agelos.pikoulas@gmail.com)
uri-js,4.2.2,BSD-2-Clause,https://github.com/garycourt/uri-js,* Copyright 2011 Gary Court. All rights reserved.
urix,0.1.0,MIT,https://github.com/lydell/urix,Copyright (c) 2013 Simon Lydell
url,0.11.0,MIT,https://github.com/defunctzombie/node-url,Copyright Joyent- Inc. and other Node contributors.
use,3.1.1,MIT,https://github.com/jonschlinkert/use,Copyright (c) 2015-present- Jon Schlinkert.
util,0.10.3,MIT,https://github.com/defunctzombie/node-util,Copyright Joyent- Inc. and other Node contributors. All rights reserved.
util-deprecate,1.0.2,MIT,https://github.com/TooTallNate/util-deprecate,Copyright (c) 2014 Nathan Rajlich <nathan@tootallnate.net>
util.promisify,1.0.0,MIT,https://github.com/ljharb/util.promisify,Copyright (c) 2017 Jordan Harband
utils-merge,1.0.1,MIT,,Copyright (c) 2013-2017 Jared Hanson
uuid,3.3.2,MIT,https://github.com/kelektiv/node-uuid,Copyright (c) 2010-2016 Robert Kieffer and other contributors
uuid,3.3.3,MIT,https://github.com/kelektiv/node-uuid,Copyright (c) 2010-2016 Robert Kieffer and other contributors
vary,1.1.2,MIT,,Copyright (c) 2014-2017 Douglas Christopher Wilson
verror,1.10.0,MIT,https://github.com/davepacheco/node-verror,Copyright (c) 2016- Joyent- Inc. All rights reserved.
warning,3.0.0,BSD-3-Clause,https://github.com/BerkeleyTrue/warning,Copyright (c) 2013-2015- Facebook- Inc. All rights reserved.
webpack-cli,3.3.9,MIT,https://github.com/webpack/webpack-cli,Copyright JS Foundation and other contributors
webpack-dev-middleware,3.7.2,MIT,https://github.com/webpack/webpack-dev-middleware,Copyright JS Foundation and other contributors
webpack-dev-server,3.8.2,MIT,https://github.com/webpack/webpack-dev-server,Copyright JS Foundation and other contributors
webpack-sources,1.4.3,MIT,https://github.com/webpack/webpack-sources,Copyright (c) 2017 JS Foundation and other contributors
which,1.3.1,ISC,https://github.com/isaacs/node-which,Copyright (c) Isaac Z. Schlueter and Contributors
which-module,2.0.0,ISC,https://github.com/nexdrew/which-module,Copyright (c) 2016- Contributors
window-or-global,1.0.1,MIT,https://github.com/purposeindustries/window-or-global,Copyright (c) Purpose Industries
window-size,0.1.4,MIT,https://github.com/jonschlinkert/window-size,Copyright (c) 2015- Jon Schlinkert.
wrap-ansi,2.1.0,MIT,https://github.com/chalk/wrap-ansi,Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)
wrappy,1.0.2,ISC,https://github.com/npm/wrappy,Copyright (c) Isaac Z. Schlueter and Contributors
ws,6.2.1,MIT,https://github.com/websockets/ws,Copyright (c) 2011 Einar Otto Stangvik <einaros@gmail.com>
ws,7.1.2,MIT,https://github.com/websockets/ws,Copyright (c) 2011 Einar Otto Stangvik <einaros@gmail.com>
xml2js,0.4.22,MIT,https://github.com/Leonidas-from-XIV/node-xml2js,Copyright 2010- 2011- 2012- 2013. All rights reserved.
xmlbuilder,11.0.1,MIT,http://github.com/oozcitak/xmlbuilder-js,Copyright (c) 2013 Ozgur Ozcitak
xtend,4.0.2,MIT,https://github.com/Raynos/xtend,Copyright (c) 2012-2014 Raynos.
y18n,3.2.1,ISC,https://github.com/yargs/y18n,Copyright (c) 2015- Contributors
yallist,3.1.1,ISC,https://github.com/isaacs/yallist,Copyright (c) Isaac Z. Schlueter and Contributors
yargs,3.32.0,MIT,https://github.com/bcoe/yargs,Copyright 2010 James Halliday (mail@substack.net)
core,5.2.6,Apache-2.0,https://github.com/IBM/kui,
plugin-bash-like,5.2.6,Apache-2.0,https://github.com/IBM/kui,
plugin-core-support,5.2.6,Apache-2.0,https://github.com/IBM/kui,
plugin-editor,5.2.6,Apache-2.0,https://github.com/IBM/kui,
plugin-k8s,5.2.6,Apache-2.0,https://github.com/IBM/kui,
plugin-kui-addons,0.0.0-semantically-released,,,
plugin-proxy-support,5.2.6,Apache-2.0,https://github.com/IBM/kui,
plugin-search,0.0.0-semantically-released,ISC,,# (c) Copyright IBM Corporation 2017. All Rights Reserved.
proxy,5.2.6,Apache-2.0,https://github.com/IBM/kui,
webpack,5.2.6,Apache-2.0,https://github.com/IBM/kui,
marked,0.6.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
shelljs,0.8.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,Copyright (c) Microsoft Corporation. All rights reserved.
ansi-to-html,0.6.11,MIT,https://github.com/rburns/ansi-to-html,Copyright (c) 2012 Rob Burns
beep-boop,1.2.3,,,
browser_field,unknown,,,
carbon-components,10.7.2,Apache-2.0,https://www.carbondesignsystem.com/,
carbon-components-react,7.7.2,Apache-2.0,,
colors,1.4.0,MIT,https://github.com/Marak/colors.js,- Copyright (c) Marak Squires
dustjs-example-simple,unknown,,,
foo,unknown,,,
graphql,14.5.8,MIT,https://github.com/graphql/graphql-js,Copyright (c) 2019 GraphQL Contributors
http-proxy,1.18.0,MIT,https://github.com/http-party/node-http-proxy,Copyright (c) 2010-2016 Charlie Robbins- Jarrett Cruger & the Contributors.
ibm-cos-sdk,1.5.3,Apache-2.0,https://github.com/ibm/ibm-cos-sdk-js,Copyright 2012-2017 Amazon.com- Inc. or its affiliates. All Rights Reserved.
iltorb,2.4.4,MIT,https://github.com/MayhemYDG/iltorb,Copyright (c) 2009- 2010- 2013-2016 by the Brotli Authors.
invalid main,unknown,,,
is-arguments,1.0.4,MIT,https://github.com/ljharb/is-arguments,Copyright (c) 2014 Jordan Harband
mylib,0.0.0,ISC,,
node-pty-prebuilt-multiarch,0.9.0,MIT,https://github.com/oznu/node-pty-prebuilt-multiarch,Copyright (c) 2011-2016 Ryan Prichard
package,unknown,,,
react,16.11.0,MIT,https://reactjs.org/,Copyright (c) Facebook- Inc. and its affiliates.
react-dom,16.11.0,MIT,https://reactjs.org/,Copyright (c) Facebook- Inc. and its affiliates.
tar-stream,2.1.0,MIT,https://github.com/mafintosh/tar-stream,Copyright (c) 2014 Mathias Buus
templates,1.0.0,Apache-2.0,,
terser,4.3.9,BSD-2-Clause,https://terser.org,Copyright 2012-2018 (c) Mihai Bazon <mihai.bazon@gmail.com>
webpack,4.40.2,MIT,https://github.com/webpack/webpack,Copyright JS Foundation and other contributors
when,3.7.8,MIT,http://cujojs.com,Copyright (c) 2011 Brian Cavalier
xterm,3.14.5,MIT,https://github.com/xtermjs/xterm.js,Copyright (c) 2017-2019- The xterm.js authors (https://github.com/xtermjs/xterm.js)
xterm.attach,unknown,,,
xterm.fit,unknown,,,
xterm.fullscreen,unknown,,,
xterm.search,unknown,,,
xterm.terminado,unknown,,,
xterm.weblinks,unknown,,,
xterm.zmodem,unknown,,,
yargs-parser,14.0.0,ISC,https://github.com/yargs/yargs-parser,Copyright (c) 2016- Contributors
node-forge,0.9.0,BSD-3-Clause|GPL-2.0,https://github.com/digitalbazaar/forge,Copyright (c) 2010- Digital Bazaar- Inc. All rights reserved.
node-forge-flash,0.0.0,BSD-3-Clause|GPL-2.0,https://github.com/digitalbazaar/forge,
,
,
COPYRIGHT required for BSD MIT GPL ISC licenses
